Characteristic,Total,None - 8th grade,9th - 11th grade2,High school graduate,"Some college, no degree",Associate's degree3,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
Native born,184923,2519,8658,52290,30084,20754,44506,19726,2843,3544
Native parentage,166832,2198,7796,47917,27246,18839,39773,17572,2411,3079
Foreign or mixed parentage,18091,321,862,4372,2838,1914,4733,2153,432,465
Foreign born,39657,5418,3460,10257,3371,2733,8299,4333,600,1186
Naturalized citizen,21219,1790,1235,5342,2046,1850,5236,2500,413,805
Not a citizen,18439,3627,2225,4915,1325,882,3063,1833,187,381
Year of Entry  2010 or later,9216,952,658,2132,726,477,2372,1498,171,231
Year of Entry 2000-2009,9932,1347,1093,2702,738,634,2000,1023,108,286
Year of Entry 1990-1999,8736,1352,831,2324,745,615,1726,752,106,286
Year of Entry 1980-1989,6246,910,502,1626,550,534,1230,578,102,213
Year of Entry 1970-1979,3301,578,259,791,363,292,586,292,64,75
Year of Entry  Before 1970,2226,278,117,682,249,180,384,191,48,96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
