Characteristic,Total,None - 8th grade,9th - 11th grade2,High school graduate,"Some college, no degree",Associate's degree3,Bachelor's degree,Master's degree,Professional degree,Doctoral degree
"Married, spouse present",126013,4164,5179,31680,17334,13334,32525,16000,2395,3402
"Married, spouse absent, not separated",3456,283,233,1074,439,258,698,310,79,82
Separated,4268,310,476,1439,711,391,602,280,21,39
Widowed,15174,1020,1254,5666,2380,1373,2158,1029,128,166
Divorced,25754,695,1551,7616,4708,3434,4853,2219,303,374
Never married,49915,1464,3426,15072,7883,4697,11969,4220,518,667
Family householder,81381,2404,3917,19975,13171,8999,19707,9729,1471,2007
"Married, spouse present",60754,1632,2307,13647,9128,6549,16149,8283,1270,1788
Other family householder,20627,772,1610,6328,4043,2450,3558,1445,201,220
Nonfamily householder,43157,1209,2534,11714,6930,4558,10090,4698,575,848
Living alone,35674,1055,2181,10097,5800,3788,7736,3816,485,717
Living with nonrelatives,7483,154,352,1617,1129,771,2355,882,90,132
Relative of householder,86964,3829,4850,26507,11493,8756,19984,8601,1245,1698
Spouse,60666,1891,2516,16414,7670,6412,15580,7511,1093,1580
Other,26298,1939,2334,10093,3823,2343,4405,1091,153,118
Nonrelative,13078,494,817,4351,1862,1173,3023,1030,152,176
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
